open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1753228800000,205.7900,205.8600,204.1300,204.3800,434204.09,1753229699999,88995953.371500,47237,143409.65,29393558.378100,0
1753229700000,204.3800,205.4900,203.4700,203.7300,433238.91,1753230599999,88581627.017870,50255,218610.98,44715367.400000,0
1753230600000,203.7200,205.0000,203.6700,204.7500,286128.44,1753231499999,58498529.158900,42865,156181.78,31933789.407900,0
1753231500000,204.7500,205.2500,204.0700,204.3900,282587.92,1753232399999,57824048.418900,32812,145040.13,29679464.633400,0
1753232400000,204.3900,204.4000,202.7000,202.9500,340277.50,1753233299999,69185716.813440,39077,140744.48,28612615.887400,0
1753233300000,202.9500,203.9000,202.9500,203.3800,150565.52,1753234199999,30648476.530700,25269,72358.42,14729659.401300,0
1753234200000,203.3900,204.6800,203.2100,203.9200,203692.97,1753235099999,41571203.751800,27197,125901.71,25697861.657100,0
1753235100000,203.9100,204.4400,202.8000,203.1400,200886.46,1753235999999,40853413.302000,25577,91991.91,18706728.557600,0
1753236000000,203.1300,203.4700,202.5500,202.7400,235906.38,1753236899999,47888765.196400,28204,117171.53,23788529.716700,0
1753236900000,202.7500,203.2200,202.2700,203.2000,233105.84,1753237799999,47257023.782700,26395,127809.20,25916970.781100,0
1753237800000,203.2000,203.2700,201.7000,201.7000,254313.04,1753238699999,51463309.370690,38843,91531.17,18533964.049300,0
1753238700000,201.7000,202.4600,201.6800,202.4000,210193.66,1753239599999,42472324.207200,22521,116924.37,23628084.294300,0
1753239600000,202.4100,202.8000,201.8800,202.5200,130843.08,1753240499999,26472436.490500,18248,72667.64,14702718.503900,0
1753240500000,202.5100,202.8300,201.7500,202.0300,181770.21,1753241399999,36744581.817900,19151,99940.52,20198892.149300,0
1753241400000,202.0300,202.6100,201.8000,202.0000,143927.22,1753242299999,29090173.366700,18847,84182.63,17016868.552700,0
1753242300000,201.9900,201.9900,201.0400,201.5200,252071.09,1753243199999,50771212.245040,26455,113283.43,22819148.774600,0
1753243200000,201.5100,202.0600,201.1100,201.8200,162003.23,1753244099999,32660613.754800,21402,108006.68,21775881.194000,0
1753244100000,201.8200,202.3500,201.3500,202.2100,159993.45,1753244999999,32318143.592600,19823,86089.63,17391277.764000,0
1753245000000,202.2000,202.2400,201.7600,201.9500,100401.87,1753245899999,20277944.140000,15595,54809.27,11069944.155500,0
1753245900000,201.9500,202.0200,201.1600,201.7600,179945.86,1753246799999,36251900.922200,19135,86493.53,17425840.166000,0
1753246800000,201.7600,201.8300,200.9000,201.4900,200254.78,1753247699999,40299900.375600,22618,91610.69,18439513.604200,0
1753247700000,201.5000,201.8400,201.0400,201.2200,120798.00,1753248599999,24330235.831800,17277,53393.56,10756094.997600,0
1753248600000,201.2200,202.2400,201.2100,201.3000,192754.85,1753249499999,38868218.654600,22499,114605.81,23116061.272300,0
1753249500000,201.3100,201.8400,201.0700,201.6500,131555.27,1753250399999,26494799.473500,15967,46318.55,9332815.272200,0
1753250400000,201.6500,202.0000,201.2700,202.0000,166337.36,1753251299999,33541013.787200,19970,76563.94,15439692.786700,0
1753251300000,202.0000,202.0000,200.2000,201.0200,443380.95,1753252199999,89041824.268300,44619,170581.07,34265818.309600,0
1753252200000,201.0200,201.1000,199.7500,200.1200,304132.54,1753253099999,60900620.134700,33129,115125.90,23057311.128900,0
1753253100000,200.1200,200.8600,199.9900,200.6700,174334.43,1753253999999,34967406.651300,22339,88234.26,17696807.199700,0
1753254000000,200.6700,200.7700,199.7200,200.4800,179847.05,1753254899999,36033631.210300,24108,88228.45,17682125.781400,0
1753254900000,200.4800,201.0900,200.4800,200.9100,185354.10,1753255799999,37219821.529800,19384,82108.46,16490653.831200,0
1753255800000,200.9200,201.1800,199.2400,199.6100,264761.59,1753256699999,52929982.023900,31145,93900.05,18778111.335200,0
1753256700000,199.6100,199.8500,198.8900,199.5000,324905.63,1753257599999,64745242.295600,39775,125584.31,25030200.224600,0
1753257600000,199.5000,199.8400,198.6000,199.7300,277497.76,1753258499999,55296163.977730,27787,130876.30,26094273.722800,0
1753258500000,199.7300,199.7400,198.8600,199.5600,172262.46,1753259399999,34324995.430100,20433,92023.34,18338502.037100,0
1753259400000,199.5700,199.6400,198.7100,198.9800,164303.47,1753260299999,32715678.179300,22772,75263.20,14989140.957000,0
1753260300000,198.9800,199.8900,198.8400,199.8700,172595.76,1753261199999,34403060.608300,21169,106610.56,21250315.442400,0
1753261200000,199.8700,200.0800,199.1400,199.2300,160288.92,1753262099999,32007225.557400,19841,87935.47,17564312.883600,0
1753262100000,199.2200,199.2500,198.1700,198.1900,276563.55,1753262999999,54925826.322090,27911,110022.35,21855693.921800,0
1753263000000,198.1900,198.5900,197.7100,198.0900,377487.33,1753263899999,74787777.173200,36131,154502.57,30618410.173400,0
1753263900000,198.0800,198.3400,197.5300,197.6900,203926.84,1753264799999,40364524.885400,24010,99099.85,19617051.722000,0
1753264800000,197.6800,197.8600,196.0000,196.1100,754807.36,1753265699999,148652005.860750,62881,277749.56,54716595.318100,0
1753265700000,196.1100,197.5000,196.1100,197.0900,395465.53,1753266599999,77846215.752100,40105,265730.86,52312114.785400,0
1753266600000,197.0800,197.7300,196.9200,197.5800,222111.20,1753267499999,43840157.898300,25569,139466.52,27527520.569500,0
1753267500000,197.5800,198.0600,197.5800,197.9500,195809.82,1753268399999,38749447.049200,21361,108396.72,21450516.813900,0
1753268400000,197.9500,198.0800,196.9000,196.9900,242078.12,1753269299999,47822749.268800,25007,122840.96,24273081.618000,0
1753269300000,197.0000,198.2500,196.9400,197.9500,191524.20,1753270199999,37878847.305100,22074,104012.06,20572173.230300,0
1753270200000,197.9600,198.0400,197.3600,197.6400,107301.66,1753271099999,21210888.102300,17561,48035.27,9495704.062800,0
1753271100000,197.6400,197.7400,197.0000,197.4400,105357.25,1753271999999,20787573.065100,16636,46606.38,9196837.422400,0
1753272000000,197.4500,197.6200,196.5000,197.5500,214360.96,1753272899999,42244856.554900,25228,105788.47,20853891.680200,0
1753272900000,197.5400,197.6100,196.3900,196.9600,166965.63,1753273799999,32887279.859700,22886,76476.93,15063860.224500,0
1753273800000,196.9600,197.2000,195.2000,195.3900,537913.88,1753274699999,105369419.249350,54098,200904.60,39361424.348000,0
1753274700000,195.3800,196.0200,193.6000,194.2400,1129559.28,1753275599999,219789838.988120,97540,455781.25,88709257.932600,0
1753275600000,194.2400,194.9000,193.6000,193.9600,789123.20,1753276499999,153268599.499700,72871,387031.79,75196780.017500,0
1753276500000,193.9600,194.0200,191.4600,193.9700,1276983.24,1753277399999,246377472.288640,114836,588789.90,113668140.545120,0
1753277400000,193.9600,194.4200,187.6400,189.5300,1860204.62,1753278299999,355276117.664490,168357,744696.27,142464287.254300,0
1753278300000,189.5200,190.5300,187.6100,189.1800,2276938.15,1753279199999,431151889.303300,220709,1050133.89,198918457.274300,0
1753279200000,189.1800,191.5900,188.7000,190.1400,1336559.47,1753280099999,254542666.738190,121360,635580.87,121068275.638390,0
1753280100000,190.1500,192.3800,190.1400,192.0900,775679.77,1753280999999,148582569.318220,72379,462045.87,88495316.024020,0
1753281000000,192.0900,192.1500,189.7800,190.5600,785935.06,1753281899999,150001531.272690,86963,305025.54,58212476.575600,0
1753281900000,190.5700,191.6400,190.0600,191.5900,413258.76,1753282799999,78855380.846000,54964,209834.77,40054186.349700,0
1753282800000,191.5800,191.9200,189.6100,189.8600,466063.56,1753283699999,88935490.408500,63626,212380.12,40534477.622400,0
1753283700000,189.8600,191.3300,189.7800,190.7200,271483.80,1753284599999,51728253.697600,55359,150263.23,28631238.478000,0
1753284600000,190.7200,191.8400,190.5300,191.8400,236211.86,1753285499999,45176357.951100,36627,132350.50,25316122.702400,0
1753285500000,191.8300,192.8000,190.8100,192.7200,512920.18,1753286399999,98461927.866120,60392,278597.13,53488916.233520,0
1753286400000,192.7300,192.7400,190.9000,190.9300,506685.41,1753287299999,97321437.537000,74279,226345.69,43478270.375600,0
1753287300000,190.9400,191.8200,190.2500,191.0500,329001.66,1753288199999,62807925.751090,49136,158175.04,30204114.803300,0
1753288200000,191.0400,191.0900,189.3200,190.1300,456741.64,1753289099999,86794936.207420,61008,227362.21,43207566.005500,0
1753289100000,190.1300,190.1300,187.9100,188.2800,736564.83,1753289999999,139205456.991160,70418,268317.96,50738576.818800,0
1753290000000,188.2700,189.2900,186.2900,187.3700,1132001.29,1753290899999,212381014.708240,112639,494792.24,92838434.407600,0
1753290900000,187.3700,188.4000,186.0000,187.1800,984214.47,1753291799999,184172164.270310,96422,467366.32,87502999.404660,0
1753291800000,187.1800,188.6000,186.7600,188.2800,487833.37,1753292699999,91613051.754100,54444,303047.89,56919170.514500,0
1753292700000,188.2900,189.0700,187.8100,188.6900,348219.51,1753293599999,65672434.916500,43798,191665.45,36151183.515600,0
1753293600000,188.6900,190.0000,188.1600,189.3200,580313.52,1753294499999,109806871.683280,60620,307202.57,58141371.619880,0
1753294500000,189.3300,190.0600,188.4200,189.2500,326526.13,1753295399999,61828774.396500,36519,179257.26,33974765.142400,0
1753295400000,189.2500,190.0900,188.9000,189.3400,237603.90,1753296299999,45063854.665800,31676,111649.88,21175924.412800,0
1753296300000,189.3300,190.3200,189.3300,190.2300,197449.57,1753297199999,37499085.690400,27733,109245.38,20747785.443400,0
1753297200000,190.2200,190.2800,189.1500,189.2000,235366.15,1753298099999,44669773.258800,28222,108806.59,20652545.907000,0
1753298100000,189.2000,189.8400,188.5900,188.9000,203644.63,1753298999999,38520451.816700,31568,89463.44,16927839.828700,0
1753299000000,188.8900,188.8900,188.1500,188.6400,224658.30,1753299899999,42348873.911500,40153,92709.92,17477766.442300,0
1753299900000,188.6400,189.9000,188.0000,188.0600,323143.08,1753300799999,61079669.289700,41248,156981.01,29676782.649200,0
1753300800000,188.0700,189.7900,188.0400,188.6600,416257.91,1753301699999,78630770.200600,58417,230984.20,43639907.546200,0
1753301700000,188.6600,188.6600,186.3400,186.9300,468956.66,1753302599999,87891247.966840,69837,207804.11,38948840.435100,0
1753302600000,186.9400,187.1200,184.4700,186.4600,1227950.95,1753303499999,227807155.527690,116692,573412.95,106370998.967800,0
1753303500000,186.4500,187.1400,185.2800,186.7900,433547.02,1753304399999,80777608.787100,55190,208331.54,38813095.417300,0
1753304400000,186.7800,187.6200,186.5100,187.2000,270333.22,1753305299999,50586988.106780,37203,128289.04,24008976.754280,0
1753305300000,187.1900,187.2800,184.0000,185.3000,613979.26,1753306199999,113705551.151090,72999,248791.30,46111386.848300,0
1753306200000,185.2900,187.4200,184.2500,186.9900,458845.78,1753307099999,85341762.682060,71639,224031.63,41670911.428640,0
1753307100000,187.0000,188.3400,186.9900,187.9700,254461.53,1753307999999,47807358.776580,35964,151452.90,28454901.091980,0
1753308000000,187.9600,188.8500,186.5000,188.5400,395377.38,1753308899999,74228945.031400,47243,225411.70,42334123.874800,0
1753308900000,188.5500,189.3500,188.0100,189.2600,286670.54,1753309799999,54127174.300660,31220,169142.49,31940418.472160,0
1753309800000,189.2500,189.4800,188.8300,189.4400,160474.76,1753310699999,30360110.946200,29066,88013.82,16651874.329200,0
1753310700000,189.4400,189.6900,188.9600,189.0700,167698.69,1753311599999,31751380.315200,19058,85517.65,16194577.616900,0
1753311600000,189.0700,190.0700,188.8600,190.0200,168620.33,1753312499999,31969702.350600,20549,97540.38,18493520.623300,0
1753312500000,190.0100,190.0400,189.3000,189.6200,167014.41,1753313399999,31673312.902800,20612,84369.07,16002535.436400,0
1753313400000,189.6200,189.7900,189.1800,189.6200,91995.40,1753314299999,17435648.121600,15893,39243.85,7438937.079100,0
1753314300000,189.6200,189.7800,189.1500,189.4000,107571.40,1753315199999,20375483.863000,13525,45587.01,8635611.803900,0
