feature,importance
recent_drawdown,0.19782867
volatility_percentile,0.18767013
strategy_health_score,0.16747355
consecutive_losses,0.11934724
last_5_trade_winrate,0.08117429
emotional_risk_score,0.07392301
regime_cluster,0.041790992
regime_confidence,0.041336328
atr_expansion_ratio,0.030452147
strategy_avg_rr,0.020067394
momentum_probability,0.016883718
predicted_volatility,0.016249755
amihud_illiquidity,0.0058027455
