feature,importance
amihud_illiquidity,0.19754618
volatility_percentile,0.1626445
consecutive_losses,0.13057473
emotional_risk_score,0.110465646
strategy_health_score,0.109088674
recent_drawdown,0.07546312
momentum_probability,0.0620755
atr_expansion_ratio,0.044889763
last_5_trade_winrate,0.035183724
regime_cluster,0.021599058
regime_confidence,0.018472765
predicted_volatility,0.01637232
strategy_avg_rr,0.015624036
