open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1768003200000,3087.16,3088.99,3083.78,3083.80,9138.326,1768004099999,28204875.19602,18221,4354.307,13441249.87046,0
1768004100000,3083.79,3087.00,3080.90,3087.00,10858.748,1768004999999,33480473.98859,18686,6720.386,20721078.29698,0
1768005000000,3087.00,3088.30,3083.79,3084.90,4943.829,1768005899999,15258626.07641,11473,2414.738,7452899.59120,0
1768005900000,3084.90,3084.90,3080.62,3082.39,4966.751,1768006799999,15310501.40492,11683,2546.499,7849765.63859,0
1768006800000,3082.39,3086.71,3082.38,3086.70,6309.092,1768007699999,19458379.39585,14756,3300.265,10178602.59777,0
1768007700000,3086.70,3088.59,3085.76,3088.50,8064.804,1768008599999,24899640.09137,14983,3789.583,11700375.99673,0
1768008600000,3088.50,3089.68,3087.48,3089.09,8273.164,1768009499999,25552233.55787,12552,4000.592,12356387.30179,0
1768009500000,3089.10,3090.60,3086.77,3088.99,6316.343,1768010399999,19510447.21632,12317,3521.424,10877859.21875,0
1768010400000,3088.99,3090.81,3088.74,3090.81,5339.425,1768011299999,16497231.39568,9870,2809.594,8680954.70952,0
1768011300000,3090.80,3093.53,3089.15,3090.54,8958.710,1768012199999,27691725.85242,13731,6090.993,18828029.35232,0
1768012200000,3090.55,3090.55,3082.05,3082.63,10494.893,1768013099999,32379385.91388,16682,3854.018,11889736.01167,0
1768013100000,3082.63,3086.85,3082.63,3086.69,5744.892,1768013999999,17723390.44477,9711,2942.958,9078222.94949,0
1768014000000,3086.68,3086.85,3078.30,3079.55,14186.739,1768014899999,43714422.53944,22121,5156.096,15886764.00612,0
1768014900000,3079.56,3086.66,3079.55,3086.22,6794.542,1768015799999,20950246.13223,11951,4943.892,15242313.30183,0
1768015800000,3086.22,3087.00,3083.27,3084.00,5099.223,1768016699999,15731122.19618,10214,2593.059,7999776.27003,0
1768016700000,3084.01,3087.86,3084.01,3085.52,5960.731,1768017599999,18395976.56638,10018,2666.853,8230258.41778,0
1768017600000,3085.52,3086.48,3080.00,3081.92,12483.077,1768018499999,38485564.73546,19879,3799.442,11711485.10625,0
1768018500000,3081.93,3082.55,3080.30,3081.89,4976.543,1768019399999,15335072.04612,9507,1958.681,6035695.09945,0
1768019400000,3081.89,3083.55,3081.01,3083.40,4126.841,1768020299999,12721194.36359,8728,2370.595,7307488.25628,0
1768020300000,3083.40,3084.26,3077.22,3078.83,14497.958,1768021199999,44659081.32838,21512,4969.403,15308055.75355,0
1768021200000,3078.82,3083.93,3078.82,3083.26,7537.518,1768022099999,23224060.36896,13355,5058.196,15584948.97195,0
1768022100000,3083.26,3084.02,3082.22,3084.02,3512.207,1768022999999,10828526.65089,6160,1756.711,5416320.88883,0
1768023000000,3084.02,3086.50,3082.77,3086.09,10798.610,1768023899999,33318466.21347,11461,5624.950,17355306.87157,0
1768023900000,3086.09,3086.88,3085.08,3085.81,6871.288,1768024799999,21205180.38463,8346,2872.597,8865006.52830,0
1768024800000,3085.81,3086.85,3085.22,3086.36,5675.162,1768025699999,17514148.57507,8931,3276.037,10110015.92314,0
1768025700000,3086.35,3086.36,3082.13,3085.99,7467.712,1768026599999,23036272.61820,10728,2308.142,7118846.92986,0
1768026600000,3085.99,3087.30,3085.50,3086.23,3925.647,1768027499999,12116124.54072,7245,1712.568,5285658.15036,0
1768027500000,3086.24,3087.85,3085.65,3086.34,3713.050,1768028399999,11461723.43666,6567,2163.948,6679832.64030,0
1768028400000,3086.34,3092.48,3086.34,3090.99,15264.776,1768029299999,47169338.24338,21187,9509.892,29385343.49615,0
1768029300000,3090.99,3091.19,3088.75,3090.08,6853.932,1768030199999,21177936.55034,10144,3002.638,9277888.17153,0
1768030200000,3090.08,3091.42,3088.50,3089.09,7041.048,1768031099999,21758238.01049,10054,3300.008,10197680.58217,0
1768031100000,3089.09,3092.00,3089.07,3091.50,6470.887,1768031999999,20000610.79605,7286,4640.331,14343060.43129,0
1768032000000,3091.49,3091.92,3088.56,3089.58,6308.166,1768032899999,19493669.48423,10895,2511.420,7761025.73745,0
1768032900000,3089.57,3090.00,3088.00,3088.32,3776.840,1768033799999,11665536.30539,8036,1573.019,4858532.39794,0
1768033800000,3088.32,3088.50,3086.13,3087.58,5228.816,1768034699999,16143248.11467,8552,1622.590,5009489.16798,0
1768034700000,3087.58,3088.90,3087.30,3088.90,2593.234,1768035599999,8008018.86263,4832,1670.341,5158186.89532,0
1768035600000,3088.90,3090.39,3088.00,3088.70,3632.278,1768036499999,11220897.24917,8778,1693.507,5231758.80048,0
1768036500000,3088.69,3091.87,3088.69,3090.82,4802.185,1768037399999,14840606.16947,7250,2469.693,7631968.94889,0
1768037400000,3090.81,3092.17,3089.69,3092.16,5391.553,1768038299999,16666281.94935,10825,2870.773,8874471.36697,0
1768038300000,3092.16,3097.89,3092.16,3094.65,27379.424,1768039199999,84752106.96536,27919,16976.456,52548805.01560,0
1768039200000,3094.66,3097.28,3094.00,3096.30,13851.549,1768040099999,42876393.98962,15799,7174.760,22208536.75016,0
1768040100000,3096.30,3097.99,3093.82,3094.73,8981.112,1768040999999,27806294.22529,13325,3890.902,12048391.76066,0
1768041000000,3094.73,3098.56,3093.10,3096.87,9571.919,1768041899999,29632068.39901,13369,5674.537,17568870.36845,0
1768041900000,3096.87,3102.68,3096.86,3101.97,18672.247,1768042799999,57872755.09152,24225,11698.656,36260261.72422,0
1768042800000,3101.98,3102.25,3097.78,3098.77,8105.831,1768043699999,25123950.19547,13927,3182.049,9863154.40843,0
1768043700000,3098.77,3099.25,3095.90,3096.39,6427.884,1768044599999,19906454.99850,10788,2084.121,6454563.89989,0
1768044600000,3096.39,3097.51,3094.85,3095.60,6927.710,1768045499999,21447897.21840,8822,3008.702,9315232.92274,0
1768045500000,3095.60,3095.64,3093.32,3095.64,7016.254,1768046399999,21710455.82069,8873,2928.740,9062769.13491,0
1768046400000,3095.63,3098.33,3095.63,3098.33,9864.410,1768047299999,30552340.56256,13746,6367.693,19722091.01477,0
1768047300000,3098.33,3102.75,3095.16,3095.16,13493.413,1768048199999,41818212.80217,17215,6261.039,19408239.74564,0
1768048200000,3095.16,3096.86,3091.46,3095.98,13121.329,1768049099999,40601997.83660,16560,5898.219,18253328.35813,0
1768049100000,3095.98,3098.11,3095.64,3098.00,5485.973,1768049999999,16990262.81385,9578,2625.239,8130610.49841,0
1768050000000,3098.01,3098.01,3094.91,3095.32,4452.530,1768050899999,13787386.24814,7482,1889.390,5850513.94331,0
1768050900000,3095.33,3097.58,3094.35,3094.88,5625.945,1768051799999,17417050.35461,11627,3147.969,9745502.44263,0
1768051800000,3094.88,3096.85,3094.88,3096.61,3511.093,1768052699999,10870508.96542,7751,1938.011,6000147.55468,0
1768052700000,3096.61,3096.65,3091.82,3093.52,7670.311,1768053599999,23730097.36212,10072,2172.296,6720385.89937,0
1768053600000,3093.51,3094.35,3087.25,3093.13,27118.649,1768054499999,83816124.53210,25517,12025.978,37164352.16974,0
1768054500000,3093.14,3095.23,3090.42,3092.79,11019.047,1768055399999,34085898.74789,12720,5504.819,17029246.22403,0
1768055400000,3092.78,3092.79,3089.60,3090.01,8571.780,1768056299999,26494217.03044,14450,3911.557,12090194.16979,0
1768056300000,3090.00,3091.12,3089.08,3090.51,4516.397,1768057199999,13956203.05809,8202,2281.463,7050112.12635,0
1768057200000,3090.52,3093.91,3090.51,3093.11,6444.811,1768058099999,19931542.16929,11680,3908.725,12088151.34410,0
1768058100000,3093.11,3093.11,3091.00,3091.97,5099.364,1768058999999,15768877.66433,7570,2756.089,8522625.73556,0
1768059000000,3091.97,3094.89,3091.92,3094.33,6472.020,1768059899999,20020988.48866,9480,4257.481,13170320.38862,0
1768059900000,3094.33,3094.98,3092.64,3094.12,2973.840,1768060799999,9201414.70486,6398,1704.560,5274377.58457,0
1768060800000,3094.12,3096.12,3092.60,3093.14,5934.157,1768061699999,18363017.51820,10819,3101.283,9597110.20130,0
1768061700000,3093.13,3093.14,3090.31,3093.14,3472.037,1768062599999,10734988.90176,7433,1411.922,4365659.78549,0
1768062600000,3093.14,3095.86,3092.23,3095.86,6084.326,1768063499999,18827570.60226,9570,3181.077,9843737.90637,0
1768063500000,3095.86,3095.86,3093.46,3094.19,2621.695,1768064399999,8112737.65092,4489,1275.598,3947312.28654,0
1768064400000,3094.19,3097.53,3094.19,3097.14,5162.853,1768065299999,15984494.48995,7438,3952.493,12237421.21432,0
1768065300000,3097.15,3097.56,3096.32,3096.33,4748.159,1768066199999,14704783.42211,6041,2397.530,7425055.76624,0
1768066200000,3096.32,3096.33,3095.30,3095.31,2137.333,1768067099999,6616251.97553,3974,679.365,2102945.63045,0
1768067100000,3095.30,3095.64,3090.66,3091.33,8405.789,1768067999999,26000263.51710,14633,2905.491,8987265.60741,0
1768068000000,3091.32,3092.51,3088.50,3090.82,8507.816,1768068899999,26292873.72209,13060,3164.557,9780808.68518,0
1768068900000,3090.82,3092.81,3090.26,3092.81,3680.537,1768069799999,11378667.64642,6133,2740.930,8473920.15430,0
1768069800000,3092.80,3092.81,3090.64,3092.10,4596.583,1768070699999,14211680.48440,6753,2696.324,8336306.80893,0
1768070700000,3092.11,3092.11,3090.82,3091.47,2306.297,1768071599999,7129767.36573,4012,1028.790,3180457.47208,0
1768071600000,3091.47,3092.66,3091.05,3091.73,2551.108,1768072499999,7887581.49904,4953,1166.464,3606504.16275,0
1768072500000,3091.72,3091.73,3090.28,3090.44,3469.450,1768073399999,10723619.22892,4562,997.301,3082491.89594,0
1768073400000,3090.43,3091.20,3089.70,3091.20,3241.137,1768074299999,10016343.26814,4993,2348.894,7258881.71915,0
1768074300000,3091.19,3091.20,3088.76,3090.79,3582.082,1768075199999,11068396.87050,5829,1102.220,3405900.37895,0
1768075200000,3090.78,3092.19,3089.51,3091.51,4618.897,1768076099999,14276567.22593,8144,2384.116,7369123.64332,0
1768076100000,3091.50,3091.50,3090.00,3090.41,1292.872,1768076999999,3995664.91959,3074,497.043,1536028.92683,0
1768077000000,3090.40,3091.96,3087.53,3087.59,7011.734,1768077899999,21662135.24153,9062,2783.995,8602432.24845,0
