open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1770422400000,2062.55,2063.74,2036.02,2043.09,238341.929,1770425999999,488116093.34190,782369,113018.264,231453289.90682,0
1770426000000,2043.09,2065.90,2031.76,2060.69,177425.279,1770429599999,363271647.47888,432585,92288.445,189031517.37566,0
1770429600000,2060.69,2064.50,2047.32,2058.46,106025.792,1770433199999,218050199.03897,315947,51324.162,105559028.15883,0
1770433200000,2058.47,2085.52,2057.52,2079.62,236721.815,1770436799999,490740816.41409,464705,116496.641,241505801.83299,0
1770436800000,2079.61,2118.87,2077.58,2086.14,430418.684,1770440399999,902031466.54709,793374,238757.863,500491223.07664,0
1770440400000,2086.14,2103.10,2076.28,2082.74,183667.951,1770443999999,383732353.52238,455782,84133.577,175827938.89158,0
1770444000000,2082.73,2092.70,2045.96,2046.54,291719.363,1770447599999,604191542.88419,534129,115205.449,238763347.41766,0
1770447600000,2046.55,2054.86,1993.34,2026.09,852678.061,1770451199999,1723844876.14451,1326521,403580.632,815779439.91321,0
1770451200000,2026.09,2031.53,2014.12,2018.32,235383.320,1770454799999,476188002.29790,527394,114119.934,230907952.37820,0
1770454800000,2018.32,2029.40,2004.14,2013.64,195399.051,1770458399999,393754666.22182,411675,88819.958,179095851.03640,0
1770458400000,2013.63,2019.35,1998.52,2009.70,178471.870,1770461999999,358252239.16554,376117,84131.285,168943490.39453,0
1770462000000,2009.71,2021.90,2005.88,2017.52,123879.470,1770465599999,249220132.26398,277992,65366.609,131524249.56868,0
1770465600000,2017.53,2075.61,2015.87,2040.60,587913.623,1770469199999,1203910910.09481,980690,316416.388,647873399.97502,0
1770469200000,2040.61,2050.00,2027.27,2040.76,216705.358,1770472799999,441919124.65236,428680,110403.350,225226718.67437,0
1770472800000,2040.77,2048.75,2008.18,2019.40,269304.678,1770476399999,545801263.65268,460337,115953.901,235124990.06008,0
1770476400000,2019.40,2063.12,2013.13,2051.49,297117.495,1770479999999,606837369.90325,630639,161308.466,329506457.16830,0
1770480000000,2051.49,2125.00,2009.00,2049.07,3562323.006,1770483599999,7325975625.73911,2973105,1760751.422,3628879450.72345,0
1770483600000,2049.07,2072.81,2031.66,2060.26,210680.107,1770487199999,432383596.33781,661127,111059.671,227989581.18143,0
1770487200000,2060.26,2109.07,2057.87,2096.06,285651.084,1770490799999,596630540.93836,632895,152953.770,319441771.58996,0
1770490800000,2096.06,2100.99,2082.41,2090.11,125192.300,1770494399999,261881728.05658,358099,63030.469,131874586.52660,0
1770494400000,2090.10,2116.79,2083.52,2104.08,158441.074,1770497999999,332660608.65135,306079,74655.854,156789680.47759,0
1770498000000,2104.09,2110.00,2096.49,2099.63,82919.261,1770501599999,174363133.10073,258129,38802.813,81601744.09054,0
1770501600000,2099.62,2106.83,2086.51,2087.73,60908.233,1770505199999,127613498.41779,172553,30022.799,62911996.86040,0
1770505200000,2087.73,2094.57,2072.00,2085.93,135147.697,1770508799999,281454167.93489,285237,57748.346,120298098.18199,0
